Constituency,Region
যশোর-১,খুলনা
যশোর-৫,খুলনা
কিশোরগঞ্জ-৫,ঢাকা
কুড়িগ্রাম-৪,রংপুর
পাবনা-২,রাজশাহী
পাবনা-৫,রাজশাহী
সাতক্ষীরা-২,খুলনা
সাতক্ষীরা-৩,খুলনা
নেত্রকোনা-৪,ময়মনসিংহ
ঢাকা-১২,ঢাকা
ঢাকা-১৬,ঢাকা
ঢাকা-৮,ঢাকা
নওগাঁ-২,রাজশাহী
সিলেট-৫,সিলেট
সিলেট-১,সিলেট
ঢাকা-১৭,ঢাকা
বগুড়া-৩,রাজশাহী
বগুড়া-৪,রাজশাহী
কক্সবাজার-৩,চট্টগ্রাম
গাজীপুর-৪,ঢাকা
নাটোর-২,রাজশাহী
সিরাজগঞ্জ-২,রাজশাহী
সিরাজগঞ্জ-৬,রাজশাহী
জয়পুরহাট-১,রাজশাহী
খাগড়াছড়ি,চট্টগ্রাম
চট্টগ্রাম-৪,চট্টগ্রাম
চট্টগ্রাম-৮,চট্টগ্রাম
টাঙ্গাইল-৮,ঢাকা
শরীয়তপুর-১,ঢাকা
ঢাকা-১৫,ঢাকা
সিলেট-৬,সিলেট
সিলেট-৩,সিলেট
রংপুর-৫,রংপুর
লালমনিরহাট-১,রংপুর
দিনাজপুর-৫,রংপুর
ঠাকুরগাঁও-২,রংপুর
রংপুর-৬,রংপুর
রংপুর-২,রংপুর
দিনাজপুর-৬,রংপুর
দিনাজপুর-৪,রংপুর
রাজশাহী-১,রাজশাহী
নাটোর-৪,রাজশাহী
চাঁপাইনবাবগঞ্জ-১,রাজশাহী
শেরপুর-৩,ময়মনসিংহ
বাগেরহাট-১,খুলনা
চুয়াডাঙ্গা-২,খুলনা
কুষ্টিয়া-৩,খুলনা
কুষ্টিয়া-২,খুলনা
ঝিনাইদহ-৩,খুলনা
মাদারীপুর-২,ঢাকা
ফরিদপুর-৪,ঢাকা
নরসিংদী-২,ঢাকা
নারায়ণগঞ্জ-২,ঢাকা
ঢাকা-২০,ঢাকা
ঢাকা-১৯,ঢাকা
টাঙ্গাইল-৭,ঢাকা
টাঙ্গাইল-৬,ঢাকা
টাঙ্গাইল-২,ঢাকা
মানিকগঞ্জ-৩,ঢাকা
গাজীপুর-৫,ঢাকা
গাজীপুর-৩,ঢাকা
ঢাকা-৬,ঢাকা
ঢাকা-৪,ঢাকা
ঢাকা-১৪,ঢাকা
ঢাকা-১০,ঢাকা
নোয়াখালী-৩,চট্টগ্রাম
লক্ষ্মীপুর-৪,চট্টগ্রাম
লক্ষ্মীপুর-৩,চট্টগ্রাম
ফেনী-৩,চট্টগ্রাম
ফেনী-১,চট্টগ্রাম
কক্সবাজার-২,চট্টগ্রাম
কক্সবাজার-১,চট্টগ্রাম
চট্টগ্রাম-৭,চট্টগ্রাম
চট্টগ্রাম-১৩,চট্টগ্রাম
সিরাজগঞ্জ-৫,রাজশাহী
সিরাজগঞ্জ-১,রাজশাহী
পাবনা-৪,রাজশাহী
পিরোজপুর-১,বরিশাল
ভোলা-২,বরিশাল
ভোলা-১,বরিশাল
কুষ্টিয়া-১,খুলনা
কুষ্টিয়া-৪,খুলনা
খুলনা-১,খুলনা
খুলনা-২,খুলনা
খুলনা-৩,খুলনা
খুলনা-৪,খুলনা
খুলনা-৫,খুলনা
খুলনা-৬,খুলনা
চুয়াডাঙ্গা-১,খুলনা
ঝিনাইদহ-১,খুলনা
ঝিনাইদহ-২,খুলনা
ঝিনাইদহ-৪,খুলনা
নড়াইল-১,খুলনা
নড়াইল-২,খুলনা
বাগেরহাট-২,খুলনা
বাগেরহাট-৩,খুলনা
বাগেরহাট-৪,খুলনা
মাগুরা-১,খুলনা
মাগুরা-২,খুলনা
মেহেরপুর-১,খুলনা
মেহেরপুর-২,খুলনা
যশোর-২,খুলনা
যশোর-৩,খুলনা
যশোর-৪,খুলনা
যশোর-৬,খুলনা
সাতক্ষীরা-১,খুলনা
সাতক্ষীরা-৪,খুলনা
কক্সবাজার-৪,চট্টগ্রাম
কুমিল্লা-১,চট্টগ্রাম
কুমিল্লা-১০,চট্টগ্রাম
কুমিল্লা-১১,চট্টগ্রাম
কুমিল্লা-২,চট্টগ্রাম
কুমিল্লা-৩,চট্টগ্রাম
কুমিল্লা-৪,চট্টগ্রাম
কুমিল্লা-৫,চট্টগ্রাম
কুমিল্লা-৬,চট্টগ্রাম
কুমিল্লা-৭,চট্টগ্রাম
কুমিল্লা-৮,চট্টগ্রাম
কুমিল্লা-৯,চট্টগ্রাম
চট্টগ্রাম-১,চট্টগ্রাম
চট্টগ্রাম-১০,চট্টগ্রাম
চট্টগ্রাম-১১,চট্টগ্রাম
চট্টগ্রাম-১২,চট্টগ্রাম
চট্টগ্রাম-১৪,চট্টগ্রাম
চট্টগ্রাম-১৫,চট্টগ্রাম
চট্টগ্রাম-১৬,চট্টগ্রাম
চট্টগ্রাম-২,চট্টগ্রাম
চট্টগ্রাম-৩,চট্টগ্রাম
চট্টগ্রাম-৫,চট্টগ্রাম
চট্টগ্রাম-৬,চট্টগ্রাম
চট্টগ্রাম-৯,চট্টগ্রাম
চাঁদপুর-১,চট্টগ্রাম
চাঁদপুর-২,চট্টগ্রাম
চাঁদপুর-৩,চট্টগ্রাম
চাঁদপুর-৪,চট্টগ্রাম
চাঁদপুর-৫,চট্টগ্রাম
নোয়াখালী-১,চট্টগ্রাম
নোয়াখালী-২,চট্টগ্রাম
নোয়াখালী-৪,চট্টগ্রাম
নোয়াখালী-৫,চট্টগ্রাম
নোয়াখালী-৬,চট্টগ্রাম
ফেনী-২,চট্টগ্রাম
বান্দরবান,চট্টগ্রাম
ব্রাহ্মণবাড়িয়া-১,চট্টগ্রাম
ব্রাহ্মণবাড়িয়া-২,চট্টগ্রাম
ব্রাহ্মণবাড়িয়া-৩,চট্টগ্রাম
ব্রাহ্মণবাড়িয়া-৪,চট্টগ্রাম
ব্রাহ্মণবাড়িয়া-৫,চট্টগ্রাম
ব্রাহ্মণবাড়িয়া-৬,চট্টগ্রাম
রাঙ্গামাটি,চট্টগ্রাম
লক্ষ্মীপুর-১,চট্টগ্রাম
লক্ষ্মীপুর-২,চট্টগ্রাম
কিশোরগঞ্জ-১,ঢাকা
কিশোরগঞ্জ-২,ঢাকা
